g3_entity_id,parcel_id,official_code,hemisphere,effective_scientific_decision,reason,historical_decision,seed_authority,surface_evidence_summary,decision_phase,provenance
NGIQ-BR-00000047,31,IFG_L_6_2,left,NO_G1_ROLLUP,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000048,32,IFG_R_6_2,right,NO_G1_ROLLUP,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000005,69,STG_L_6_1,left,NO_G1_ROLLUP,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000006,70,STG_R_6_1,right,NO_G1_ROLLUP,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000133,121,pSTS_L_2_1,left,NO_G1_ROLLUP,NO_G1_ROLLUP (historical),NO_G1_ROLLUP (historical),ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000134,122,pSTS_R_2_1,right,NO_G1_ROLLUP,NO_G1_ROLLUP (historical),NO_G1_ROLLUP (historical),ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000135,123,pSTS_L_2_2,left,NO_G1_ROLLUP,NO_G1_ROLLUP (historical),NO_G1_ROLLUP (historical),ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000136,124,pSTS_R_2_2,right,NO_G1_ROLLUP,NO_G1_ROLLUP (historical),NO_G1_ROLLUP (historical),ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000185,179,CG_L_7_3,left,CONFLICT_REVIEW,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000186,180,CG_R_7_3,right,CONFLICT_REVIEW,PENDING_HUMAN_REVIEW,PENDING_HUMAN_REVIEW,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000195,191,MVOcC_L_5_2,left,CONFLICT_REVIEW,HUMAN_AUTHORITY_APPROVED_CANDIDATE,HUMAN_AUTHORITY_APPROVED_CANDIDATE,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000196,192,MVOcC_R_5_2,right,CONFLICT_REVIEW,HUMAN_AUTHORITY_APPROVED_CANDIDATE,HUMAN_AUTHORITY_APPROVED_CANDIDATE,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000197,193,MVOcC_L_5_3,left,CONFLICT_REVIEW,HUMAN_AUTHORITY_APPROVED_CANDIDATE,HUMAN_AUTHORITY_APPROVED_CANDIDATE,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000198,194,MVOcC_R_5_3,right,CONFLICT_REVIEW,HUMAN_AUTHORITY_APPROVED_CANDIDATE,HUMAN_AUTHORITY_APPROVED_CANDIDATE,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000201,197,MVOcC_L_5_5,left,NO_G1_ROLLUP,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000202,198,MVOcC_R_5_5,right,NO_G1_ROLLUP,NO_G1_ROLLUP,NO_G1_ROLLUP,ChatGPT-assisted scientific review,no surface (subcortical/authority),G3_G1_SCIENTIFIC_FREEZE_V1,g3_to_g1_final_scientific_decisions.csv
