source_id,structure,controlled_term_id,preferred_name,tree_path,scope_note,classification,human_evidence_tier,verdict,citation_url,doi,access_date
NLM_MESH_D020656_PosteriorThalamicNuclei,Limitans nucleus (Li),MeSH M0332227 (Limitans Nucleus / Nucleus Limitans),Limitans nucleus,Thalamus > Thalamic Nuclei > Posterior Thalamic Nuclei > Limitans Nucleus,"MeSH D020656 Posterior Thalamic Nuclei scope note: 'transitional diencephalic zone of the THALAMUS ... dorsal to the MEDIAL GENICULATE BODY. It contains the limitans, posterior, suprageniculate, and submedial nuclei.'",narrower concept of Posterior Thalamic Nuclei (inside the Thalamus),HUMAN_CONTROLLED_TERMINOLOGY,THALAMIC_NUCLEAR_TERRITORY,https://meshb.nlm.nih.gov/record/ui?ui=D020656,,2026-09-07
NLM_MESH_D020656_PosteriorThalamicNuclei,Suprageniculate nucleus (Sg),MeSH M0332230 (Suprageniculate Thalamic Nucleus / Supergeniculate Nucleus),Suprageniculate thalamic nucleus,Thalamus > Thalamic Nuclei > Posterior Thalamic Nuclei > Suprageniculate Thalamic Nucleus,"MeSH D020656 Posterior Thalamic Nuclei scope note: 'transitional diencephalic zone of the THALAMUS ... dorsal to the MEDIAL GENICULATE BODY. It contains the limitans, posterior, suprageniculate, and submedial nuclei.'",narrower concept of Posterior Thalamic Nuclei (inside the Thalamus),HUMAN_CONTROLLED_TERMINOLOGY,THALAMIC_NUCLEAR_TERRITORY,https://meshb.nlm.nih.gov/record/ui?ui=D020656,,2026-09-07
Mai2018_CommonTerminology,Limitans-Suprageniculate (L-Sg) combined,,suprageniculate-limitans nucleus,medial geniculate body (MGB) subdivision discussion (Mai 2018),"Mai 2018 (Toward a Common Terminology for the Thalamus) reports that many authors add a fourth MGB division, the suprageniculate-limitans nucleus, alongside the parvocellular/principal (MGV/MGD) and magnocellular (MGM) divisions; the metathalamus term is questioned because it implies the geniculate bodies are not integral parts of the (dorsal) lateral thalamus.",associated with MGB / dorsal-thalamic geniculate complex,HUMAN_TERMINOLOGY,DORSAL_THALAMUS_ASSOCIATED_MGB_COMPLEX,https://www.frontiersin.org/journals/neuroanatomy/articles/10.3389/fnana.2018.00114/full,10.3389/fnana.2018.00114,2026-09-07
JulichBrain_v3_1_human_cytoarchitecture,Limitans nucleus (Li),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LI_THALAMUS_LIMITANS_NUCLEUS,"Li (Thalamus, limitans Nucleus)",diencephalon > thalamus > dorsal thalamus > posterior group > Li,Local Julich-Brain v3.1 human cytoarchitectonic hierarchy places Li under dorsal thalamus > posterior group (region inventory confirms Homo sapiens).,member of the posterior group of the DORSAL THALAMUS,HUMAN_CYTOARCHITECTONIC_ATLAS,DORSAL_THALAMUS_POSTERIOR_GROUP,data/atlases/julich/v3.1/ (local asset),,2026-09-07
JulichBrain_v3_1_human_cytoarchitecture,Suprageniculate nucleus (Sg),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SG_THALAMUS_SUPRAGENICULATE_NUCLEUS,"Sg (Thalamus, suprageniculate Nucleus)",diencephalon > thalamus > dorsal thalamus > posterior group > Sg,Local Julich-Brain v3.1 human cytoarchitectonic hierarchy places Sg under dorsal thalamus > posterior group (region inventory confirms Homo sapiens).,member of the posterior group of the DORSAL THALAMUS,HUMAN_CYTOARCHITECTONIC_ATLAS,DORSAL_THALAMUS_POSTERIOR_GROUP,data/atlases/julich/v3.1/ (local asset),,2026-09-07
Iglesias2018_FreeSurfer,L-Sg (FreeSurfer/Iglesias combined channel),FreeSurfer ThalamusProbs channel 8111 (Left-L-Sg) / 8211 (Right-L-Sg),L-Sg (limitans-suprageniculate),aseg Thalamus-Proper (labels 10/49) whole-thalami mask > Iglesias 26-nucleus segmentation > L-Sg channel,"Iglesias 2018 probabilistic atlas of the human thalamic nuclei (ex vivo MRI + histology of 12 human thalami) is the basis of the FreeSurfer ThalamicNuclei segmentation. The L-Sg channel is segmented inside the whole-thalami (Thalamus-Proper) volume, alongside MGN / LGN / pulvinar and reticular channels.","human-atlas coverage inside Thalamus-Proper (coverage != ontology, but human supporting evidence)",HUMAN_ATLAS_COVERAGE,ATLAS_COVERAGE_INSIDE_THALAMUS_PROPER,data/atlases/external_raw/freesurfer_icbm2009c/thalamus/ThalamusProbs.MNIsymSpace.names.txt (local asset),10.1016/j.neuroimage.2018.08.012,2026-09-07
Rolls2020_AAL3,Limitans / suprageniculate nucleus,,nucleus limitans (or suprageniculate nucleus),posterior group of the thalamus (per Rolls 2020),"Rolls 2020 AAL3: 'The nucleus limitans (or suprageniculate nucleus) is a small nucleus of 12 voxels in the posterior group which was not included in AAL3.' -> absence is ATLAS_SIZE/RESOLUTION, and the nucleus is explicitly described as being in the posterior group of the thalamus.",member of posterior group; excluded from AAL3 ONLY for small size / MRI reliability,HUMAN_ATLAS_DOCUMENTATION,POSTERIOR_GROUP_ATLAS_SIZE_EXCLUSION_NOT_ONTOLOGY,https://doi.org/10.1016/j.neuroimage.2019.116189,10.1016/j.neuroimage.2019.116189,2026-09-07
Kiwitz2022_HumanMetathalamus_BigBrain,Limitans / Suprageniculate / posterior nuclear complex,,"posterior nuclear complex (compact limitans, suprageniculate, posterior nucleus of the thalamus)",human metathalamus cytoarchitecture (BigBrain / Julich-Brain),"Kiwitz 2022 'Cytoarchitectonic maps of the human metathalamus in 3D space' (BigBrain, 10 post-mortem brains, Julich-Brain) defines the posterior nuclear complex as comprising the compact limitans, suprageniculate and posterior nucleus of the thalamus, located rostromedial/dorsal to the MGB; MGB subdivisions MGBv/MGBm/MGBd are separate.","human cytoarchitectonic posterior nuclear complex (dorsal thalami mass), adjacent to but distinct from MGB",HUMAN_CYTOARCHITECTONIC_ATLAS,POSTERIOR_NUCLEAR_COMPLEX_OF_DORSAL_THALAMI_MASS,https://doi.org/10.3389/fnana.2022.837485,10.3389/fnana.2022.837485,2026-09-07
HiraiJones1989_human,Limitans (L) / Suprageniculate (Sg),,"posterior complex (Po, L and Sg)",human thalamus posterior complex (Hirai & Jones 1989 human parcellation),"Hirai & Jones 1989 human histochemical parcellation identifies the posterior complex (Po, L and Sg) with dense peptide-ergic input, in the posterior region of the human dorsal thalamus.",posterior complex of the human dorsal thalamus,HUMAN_CYTOARCHITECTONIC_ATLAS,DORSAL_THALAMUS_POSTERIOR_COMPLEX,https://doi.org/10.1016/0165-0173(89)90007-6,10.1016/0165-0173(89)90007-6,2026-09-07
NONHUMAN_monkey_BurtonJones1976,suprageniculate-limitans (SgL),,suprageniculate-limitans nuclear complex (monkey),posterior region of monkey dorsal thalamus,"Burton & Jones 1976 (monkey, J Comp Neurol) describe SgL as part of the posterior nuclear complex; macaque/monkey evidence.",OUT_OF_SCOPE_NON_HUMAN - NOT usable as final ruling evidence,OUT_OF_SCOPE_NON_HUMAN,OUT_OF_SCOPE_NON_HUMAN,https://pubmed.ncbi.nlm.nih.gov/821975/,,2026-09-07
