family_id,g3_anatomical_family,g1_target_concept,left_target,right_target,g3_count,left_count,right_count,candidate_method,derivation_basis,proposed_relation,proposed_method,rollup_eligible,primary_rollup,representative_g3_left,representative_g3_right,review_decision,review_reason
F01,Amygdala,Left Amygdala,NGIQ-BR-00000253,NGIQ-BR-00000261,4,2,2,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Amygdala, Brainnetome 2_1","Right Amygdala, Brainnetome 2_1",PENDING_HUMAN_REVIEW,
F02,Fusiform gyrus,Left Fusiform Gyrus,NGIQ-BR-00000273,NGIQ-BR-00000304,6,3,3,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Fusiform gyrus, Brainnetome 3_1","Right Fusiform gyrus, Brainnetome 3_1",PENDING_HUMAN_REVIEW,
F03,Hippocampus,Left Hippocampus,NGIQ-BR-00000252,NGIQ-BR-00000260,4,2,2,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Hippocampus, Brainnetome 2_1","Right Hippocampus, Brainnetome 2_1",PENDING_HUMAN_REVIEW,
F04,Inferior parietal lobule,Left Inferior Parietal Lobule,NGIQ-BR-00000274,NGIQ-BR-00000305,12,6,6,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Inferior parietal lobule, Brainnetome 6_1","Right Inferior parietal lobule, Brainnetome 6_1",PENDING_HUMAN_REVIEW,
F05,Inferior temporal gyrus,Left Inferior Temporal Gyrus,NGIQ-BR-00000275,NGIQ-BR-00000306,14,7,7,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Inferior temporal gyrus, Brainnetome 7_1","Right Inferior temporal gyrus, Brainnetome 7_1",PENDING_HUMAN_REVIEW,
F06,Insular gyrus,Left Insula,NGIQ-BR-00000299,NGIQ-BR-00000330,12,6,6,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Insular gyrus, Brainnetome 6_1","Right Insular gyrus, Brainnetome 6_1",PENDING_HUMAN_REVIEW,
F07,Lateral occipital cortex,Left Lateral Occipital Cortex,NGIQ-BR-00000277,NGIQ-BR-00000308,8,4,4,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Lateral occipital cortex, Brainnetome 4_1","Right Lateral occipital cortex, Brainnetome 4_1",PENDING_HUMAN_REVIEW,
F08,Middle temporal gyrus,Left Middle Temporal Gyrus,NGIQ-BR-00000281,NGIQ-BR-00000312,8,4,4,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Middle temporal gyrus, Brainnetome 4_1","Right Middle temporal gyrus, Brainnetome 4_1",PENDING_HUMAN_REVIEW,
F09,Paracentral lobule,Left Paracentral Lobule,NGIQ-BR-00000283,NGIQ-BR-00000314,4,2,2,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Paracentral lobule, Brainnetome 2_1","Right Paracentral lobule, Brainnetome 2_1",PENDING_HUMAN_REVIEW,
F10,Parahippocampal gyrus,Left Parahippocampal Gyrus,NGIQ-BR-00000282,NGIQ-BR-00000313,12,6,6,hierarchy_inference,CANONICAL_NAME,contained_in,hierarchy_inference,true,true,"Left Parahippocampal gyrus, Brainnetome 6_1","Right Parahippocampal gyrus, Brainnetome 6_1",PENDING_HUMAN_REVIEW,
