spatial_status,source_entity_id,source_name_en,source_name_zh,source_granularity,source_atlas,hemisphere,candidate_g1_entity_id,candidate_g1_name_en,candidate_g1_name_zh,phase16_classification,phase17_classification,anatomical_family,anatomical_reason,atlas_definition_basis,literature_basis,evidence_title,evidence_author,evidence_year,doi_or_official_reference,active_spatial_relation,historical_spatial_relation,historical_conflict_status,contralateral_entity,contralateral_phase17_status,scientific_confidence,review_note,frozen_decision,frozen_applicability,frozen_rollup_eligible,frozen_rollup_explicit,v3_classification,gate,gate_reason
HISTORICAL_CONFLICT,NGIQ-BR-00000005,"Left Superior temporal gyrus, Brainnetome 6_1",左侧颞上回（Brainnetome 6-1）,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,左颞上回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,颞上回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,NONE,HISTORICAL_CONFLICT,HISTORICAL_CONFLICT,NGIQ-BR-00000006,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,NO_G1_ROLLUP,EXPLICIT_G1_ROLLUP_BLOCK,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=NO_G1_ROLLUP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
HISTORICAL_CONFLICT,NGIQ-BR-00000006,"Right Superior temporal gyrus, Brainnetome 6_1",右侧颞上回（Brainnetome 6-1）,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,右颞上回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,颞上回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,NONE,HISTORICAL_CONFLICT,HISTORICAL_CONFLICT,NGIQ-BR-00000005,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,NO_G1_ROLLUP,EXPLICIT_G1_ROLLUP_BLOCK,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=NO_G1_ROLLUP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000085,"Left Superior temporal gyrus, Brainnetome 6_2",左侧颞上回（Brainnetome 6-2）,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,左颞上回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,颞上回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Left Superior Temporal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000086,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000086,"Right Superior temporal gyrus, Brainnetome 6_2",右侧颞上回（Brainnetome 6-2）,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,右颞上回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,颞上回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Right Superior Temporal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000085,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000125,"Left Parahippocampal gyrus, Brainnetome 6_3",左侧海马旁回（Brainnetome 6-3）,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000282,Left Parahippocampal Gyrus,左海马旁回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,海马旁回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Left Parahippocampal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000126,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000126,"Right Parahippocampal gyrus, Brainnetome 6_3",右侧海马旁回（Brainnetome 6-3）,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000313,Right Parahippocampal Gyrus,右海马旁回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,海马旁回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Right Parahippocampal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000125,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000131,"Left Parahippocampal gyrus, Brainnetome 6_6",左侧海马旁回（Brainnetome 6-6）,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000282,Left Parahippocampal Gyrus,左海马旁回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,海马旁回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Left Parahippocampal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000132,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000132,"Right Parahippocampal gyrus, Brainnetome 6_6",右侧海马旁回（Brainnetome 6-6）,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000313,Right Parahippocampal Gyrus,右海马旁回,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,海马旁回,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Right Parahippocampal Gyrus,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000131,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000145,"Left Inferior parietal lobule, Brainnetome 6_2",左侧顶下小叶（Brainnetome 6-2）,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000274,Left Inferior Parietal Lobule,左侧顶下小叶,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,顶下小叶,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Left Inferior Parietal Lobule,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000146,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
SPATIAL_COMPATIBLE,NGIQ-BR-00000146,"Right Inferior parietal lobule, Brainnetome 6_2",右侧顶下小叶（Brainnetome 6-2）,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000305,Right Inferior Parietal Lobule,右侧顶下小叶,DIRECT_CONTAINED_HIGH_CONFIDENCE,VERIFIED_DIRECT_CONTAINED,顶下小叶,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,Brainnetome official hierarchy (Fan 2016),The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,The Human Brainnetome Atlas: a new brain atlas based on connectional architecture,"Fan L, Li H, Zhuo J, Zhang Y, ... Jiang T",2016,10.1093/cercor/bhw157,dominant_overlap->Right Inferior Parietal Lobule,NO_HISTORICAL_CONFLICT,NO_HISTORICAL_CONFLICT,NGIQ-BR-00000145,VERIFIED_DIRECT_CONTAINED,高,Brainnetome 官方图谱将每个 parcel 定义为所属 gyrus 的细分（Fan 2016 层级标注），目标 G1 名称与该 gyrus 一致，半球一致。,APPROVE_DOMINANT_OVERLAP,DIRECT_G1_PAIR,FALSE,TRUE,FROZEN_DECISION_PREVAILS,FROZEN_DECISION_GATE,G3→G1 frozen：decision=APPROVE_DOMINANT_OVERLAP，rollup_eligible=FALSE（manifest 显式字段 scientific_rollup_eligible），target==candidate G1 → 禁止提升为 contained_in。
