g1_family,g1_name_example,hemisphere,geometry_available,geometry_type,geometry_path,atlas_name,atlas_version,coordinate_space,resolution,surface_or_volume,probabilistic_or_discrete,construction_method,geometry_class,is_native_source_geometry,is_derived_geometry,derivation_source,derivation_provenance,depends_on_g3_g1_mapping,circularity_risk,compatible_with_julich_geometry,registration_required,resampling_required,direct_comparison_feasible,scientific_risk,notes
Accumbens,Left Nucleus Accumbens,left/right,NO,n/a,,n/a,fsaverage (FS 5.3 atlas convention),n/a,surface vertex,surface,discrete,atlas-native parcellation,NO_GEOMETRY,FALSE,FALSE,,,n/a,n/a,NO (surface vs volume),YES,YES,NO,aseg volume 不在仓库；BN volume 为 G3 代理（circular 风险）,covered candidates in 93: 1
Amygdala,Left Amygdala,left/right,NO,n/a,,n/a,fsaverage (FS 5.3 atlas convention),n/a,surface vertex,surface,discrete,atlas-native parcellation,NO_GEOMETRY,FALSE,FALSE,,,n/a,n/a,NO (surface vs volume),YES,YES,NO,aseg volume 不在仓库（仅 Macro96 清单）；需 FS aseg 或外部 volume,covered candidates in 93: 1
Basal Forebrain,Right Basal Forebrain,left/right,NO,n/a,,n/a,fsaverage (FS 5.3 atlas convention),n/a,surface vertex,surface,discrete,atlas-native parcellation,NO_GEOMETRY,FALSE,FALSE,,,n/a,n/a,NO (surface vs volume),YES,YES,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,covered candidates in 93: 6
Cuneus,Right Cuneus,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 1
Fusiform,Left Fusiform Gyrus,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 7
Hippocampus,,left/right,NO,n/a,,n/a,fsaverage (FS 5.3 atlas convention),n/a,surface vertex,surface,discrete,atlas-native parcellation,NO_GEOMETRY,FALSE,FALSE,,,n/a,n/a,NO (surface vs volume),YES,YES,NO,aseg volume 不在仓库；BN Hippo volume 为 G3（经 G3→G1 聚合即 circular）,covered candidates in 93: 0
Inferior Frontal,"Right Inferior Frontal Gyrus, Pars Opercularis",left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan pars（无整 IFG 单一 label；pars 为独立 DK 子区）,covered candidates in 93: 4
Inferior Parietal,Right Inferior Parietal Lobule,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 11
Insula,Right Insula,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 21
Lingual,,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 0
Middle Frontal,,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 0
Middle Temporal,,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 0
Occipital,Right Lateral Occipital Cortex,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan LOC/Cuneus/Lingual,covered candidates in 93: 5
Orbitofrontal,,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan med/lat OFC,covered candidates in 93: 0
Postcentral,Right Postcentral Gyrus,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 6
Precentral,Right Precentral Gyrus,left/right,YES,surface label,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,FreeSurfer Desikan-Killiany,fsaverage (FS 5.3 atlas convention),fsaverage(FS),surface vertex,surface,discrete,atlas-native parcellation,AUTHORITATIVE_NATIVE_G1_GEOMETRY,TRUE,FALSE,,,FALSE,LOW,NO (surface vs volume),YES,YES,NO_until_bridge,Desikan-Killiany DK label,covered candidates in 93: 6
