decision_id,g3_region_id,official_label,abbreviation,official_name,anatomical_zone_semantics,hemisphere,frozen_g1_target,frozen_g1_name,frozen_decision,compatibility_status,confidence,primary_evidence,secondary_evidence,spatial_evidence_type,circularity_risk,reticular_territory_check,lsg_dependency,lgn_mgn_conflict,notes,relation_verdict
DEC-THAL-ROLLUP-01,NGIQ-BR-00000020,Tha_L_8_1,mPFtha,medial pre-frontal thalamus,medial pre-frontal thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'mPFtha' = medial pre-frontal thalamus (medial pre-frontal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),medial dorsal/anterior-group projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-02,NGIQ-BR-00000233,Tha_L_8_2,mPMtha,pre-motor thalamus,pre-motor thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'mPMtha' = pre-motor thalamus (pre-motor thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),ventral-lateral/premotor projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-03,NGIQ-BR-00000235,Tha_L_8_3,Stha,sensory thalamus,sensory thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'Stha' = sensory thalamus (sensory thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),ventral-posterior (VPL/VPM) sensory projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-04,NGIQ-BR-00000237,Tha_L_8_4,rTtha,rostral temporal thalamus,rostral temporal thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'rTtha' = rostral temporal thalamus (rostral temporal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),rostral temporal projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-05,NGIQ-BR-00000239,Tha_L_8_5,PPtha,posterior parietal thalamus,posterior parietal thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'PPtha' = posterior parietal thalamus (posterior parietal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,DEPENDENCY_ON_DEC_THAL_04,NONE (LGN/MGN INCLUDE per V2),posterior parietal / LP-pulvinar projection zone; possible posterior-complex/L-Sg-adjacent territory -> DEPENDENCY_ON_DEC_THAL_04,KEEP_FROZEN_MAPPING_PENDING_BOUNDARY_AND_DIRECT_VALIDATION
DEC-THAL-ROLLUP-06,NGIQ-BR-00000241,Tha_L_8_6,Otha,occipital thalamus,occipital thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'Otha' = occipital thalamus (occipital thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,DEPENDENCY_ON_DEC_THAL_04,NONE (LGN/MGN INCLUDE per V2),occipital / LGN-pulvinar projection zone; possible posterior-complex/L-Sg-adjacent territory -> DEPENDENCY_ON_DEC_THAL_04,KEEP_FROZEN_MAPPING_PENDING_BOUNDARY_AND_DIRECT_VALIDATION
DEC-THAL-ROLLUP-07,NGIQ-BR-00000243,Tha_L_8_7,cTtha,caudal temporal thalamus,caudal temporal thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'cTtha' = caudal temporal thalamus (caudal temporal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,DEPENDENCY_ON_DEC_THAL_04,NONE (LGN/MGN INCLUDE per V2),caudal temporal projection zone; possible posterior-complex/L-Sg-adjacent territory -> DEPENDENCY_ON_DEC_THAL_04,KEEP_FROZEN_MAPPING_PENDING_BOUNDARY_AND_DIRECT_VALIDATION
DEC-THAL-ROLLUP-08,NGIQ-BR-00000245,Tha_L_8_8,lPFtha,lateral pre-frontal thalamus,lateral pre-frontal thalamus,left,NGIQ-BR-00000247,Left Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'lPFtha' = lateral pre-frontal thalamus (lateral pre-frontal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),lateral prefrontal projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-09,NGIQ-BR-00000232,Tha_R_8_1,mPFtha,medial pre-frontal thalamus,medial pre-frontal thalamus,right,NGIQ-BR-00000256,Right Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'mPFtha' = medial pre-frontal thalamus (medial pre-frontal thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),medial dorsal/anterior-group projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
DEC-THAL-ROLLUP-10,NGIQ-BR-00000234,Tha_R_8_2,mPMtha,pre-motor thalamus,pre-motor thalamus,right,NGIQ-BR-00000256,Right Thalamus,APPROVE_CONTAINED_IN,LIKELY_COMPATIBLE_NEEDS_SPATIAL_CONFIRMATION,medium,Fan 2016 connectivity-based parcellation of the thalami mass; zone 'mPMtha' = pre-motor thalamus (pre-motor thalamus),BNA-246 gross territory within thalami mass (no |x|>30 voxels); AAL3/FS/Julich place dorsal-thalamus nuclei incl. LGN/MGN inside Thalamus under V2 identity,SEMANTIC_ANATOMICAL_COMPATIBILITY+GROSS_SPATIAL_SUPPORT,LOW,NO_SUBSTANTIAL_RETICULAR_TERRITORY_FOUND,,NONE (LGN/MGN INCLUDE per V2),ventral-lateral/premotor projection zone,KEEP_FROZEN_MAPPING_PENDING_DIRECT_SPATIAL_VALIDATION
