relation_id,source_canonical_id,source_name,source_macro_gyrus,source_cytoarchitectonic_id,source_cytoarchitectonic_name,target_canonical_id,target_name,target_dk_label,hemisphere,relation_type,hierarchy_predicate,final_adjudication_status,status_code,reused_project_status,semantic_evidence_code,semantic_evidence_detail,hierarchy_evidence,laterality_status,correct_side_fraction,contralateral_fraction,spatial_raw_rank,spatial_gm_weighted_rank,spatial_gm_margin,spatial_competitor_target,provenance_source,decision_reason_codes,review_required,review_reason_codes,frozen_methodology_basis
NGIQ-BR-00000001,NGIQ-BR-00000001,SFG_L_7_1,Superior frontal gyrus,A8m,medial area 8,NGIQ-BR-00000294,Left Superior Frontal Gyrus,superiorfrontal,left,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_L_7_1 is the medial area 8 subdivision of the Superior frontal gyrus; target is the DK region 'Left Superior Frontal Gyrus',SIDE_CONSISTENT,0.9609,0.0391,1,1,0.47766,Left Caudal Anterior Cingulate Cortex,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000002,NGIQ-BR-00000002,SFG_R_7_1,Superior frontal gyrus,A8m,medial area 8,NGIQ-BR-00000325,Right Superior Frontal Gyrus,superiorfrontal,right,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_R_7_1 is the medial area 8 subdivision of the Superior frontal gyrus; target is the DK region 'Right Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.48721,Right Caudal Anterior Cingulate Cortex,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000021,NGIQ-BR-00000021,SFG_L_7_2,Superior frontal gyrus,A8dl,dorsolateral area 8,NGIQ-BR-00000294,Left Superior Frontal Gyrus,superiorfrontal,left,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_L_7_2 is the dorsolateral area 8 subdivision of the Superior frontal gyrus; target is the DK region 'Left Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.39079,Left Rostral Middle Frontal Cortex,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000022,NGIQ-BR-00000022,SFG_R_7_2,Superior frontal gyrus,A8dl,dorsolateral area 8,NGIQ-BR-00000325,Right Superior Frontal Gyrus,superiorfrontal,right,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_R_7_2 is the dorsolateral area 8 subdivision of the Superior frontal gyrus; target is the DK region 'Right Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.39098,Right Caudal Middle Frontal Gyrus,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000023,NGIQ-BR-00000023,SFG_L_7_3,Superior frontal gyrus,A9l,lateral area 9,NGIQ-BR-00000294,Left Superior Frontal Gyrus,superiorfrontal,left,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_L_7_3 is the lateral area 9 subdivision of the Superior frontal gyrus; target is the DK region 'Left Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.59576,Left Rostral Middle Frontal Cortex,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000024,NGIQ-BR-00000024,SFG_R_7_3,Superior frontal gyrus,A9l,lateral area 9,NGIQ-BR-00000325,Right Superior Frontal Gyrus,superiorfrontal,right,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_R_7_3 is the lateral area 9 subdivision of the Superior frontal gyrus; target is the DK region 'Right Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.61235,Right Rostral Middle Frontal Cortex,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000025,NGIQ-BR-00000025,SFG_L_7_4,Superior frontal gyrus,A6dl,dorsolateral area 6,NGIQ-BR-00000294,Left Superior Frontal Gyrus,superiorfrontal,left,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_L_7_4 is the dorsolateral area 6 subdivision of the Superior frontal gyrus; target is the DK region 'Left Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.39501,Left Precentral Gyrus,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000026,NGIQ-BR-00000026,SFG_R_7_4,Superior frontal gyrus,A6dl,dorsolateral area 6,NGIQ-BR-00000325,Right Superior Frontal Gyrus,superiorfrontal,right,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_R_7_4 is the dorsolateral area 6 subdivision of the Superior frontal gyrus; target is the DK region 'Right Superior Frontal Gyrus',SIDE_CONSISTENT,1.0,0.0,1,1,0.4685,Right Caudal Middle Frontal Gyrus,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000027,NGIQ-BR-00000027,SFG_L_7_5,Superior frontal gyrus,A6m,medial area 6,NGIQ-BR-00000294,Left Superior Frontal Gyrus,superiorfrontal,left,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_L_7_5 is the medial area 6 subdivision of the Superior frontal gyrus; target is the DK region 'Left Superior Frontal Gyrus',SIDE_CONSISTENT,0.97529,0.02471,1,1,0.3328,Left Paracentral Lobule,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
NGIQ-BR-00000028,NGIQ-BR-00000028,SFG_R_7_5,Superior frontal gyrus,A6m,medial area 6,NGIQ-BR-00000325,Right Superior Frontal Gyrus,superiorfrontal,right,narrower,part_of,VERIFIED_HIERARCHICAL_MAPPING,B,VERIFIED_HIERARCHICAL_MAPPING (no prior equivalent; new state required),SEM_MACRO_GYRUS_TO_DK_CROSSWALK,same structure; DK 'superiorfrontal' is the whole SFG (Fan2016 Table1 macro gyrus SFG),SFG_R_7_5 is the medial area 6 subdivision of the Superior frontal gyrus; target is the DK region 'Right Superior Frontal Gyrus',SIDE_CONSISTENT,0.99671,0.00329,1,1,0.19218,Right Paracentral Lobule,phase17_v3_cortical_170_relation_universe + V2 direct-spatial + GM-weighted,SEM_EXACT_MACRO_GYRUS_MATCH|HIER_FINE_SUBDIVISION_OF_MACRO_GYRUS|LAT_SIDE_CONSISTENT|SPATIAL_RANK1_RAW_AND_GM,False,,b970f48 CORTICAL_CROSS_ATLAS_SUPPORT_DOMAIN_MISMATCH_CONFIRMED / SPATIALLY_COMPATIBLE
