staging_candidate_id,source_g4,source_region_pk,target_g3,target_region_pk,relation,final_decision_match,source_identity_match,target_identity_match,granularity_match,hemisphere_match,coverage_match,target_coverage_semantics_status,mapping_method_valid,lifecycle_valid,rollup_semantics_valid,provenance_complete,candidate_id_valid,review_result,review_reason
G4G3-STAGE-3B60DE3CDF4E388940FB,NGIQ-BR-00000333,832,NGIQ-BR-00000221,663,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-AA5EDCC035B492AA8FF5,NGIQ-BR-00000333,832,NGIQ-BR-00000225,675,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-E5263288201F5E932561,NGIQ-BR-00000334,835,NGIQ-BR-00000019,57,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-47322A15B728C94278A0,NGIQ-BR-00000335,838,NGIQ-BR-00000225,675,contained_in,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-229EA5E843C23715B81B,NGIQ-BR-00000336,841,NGIQ-BR-00000224,672,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-650EA18819557E5FFE2C,NGIQ-BR-00000337,844,NGIQ-BR-00000225,675,contained_in,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-994FFF5417BB39DDE017,NGIQ-BR-00000338,847,NGIQ-BR-00000224,672,contained_in,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-B56833436A65CE8D993C,NGIQ-BR-00000369,940,NGIQ-BR-00000018,54,dominant_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-94BB7CE318469373F6BA,NGIQ-BR-00000381,976,NGIQ-BR-00000142,426,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
G4G3-STAGE-1303D057B5B77822C383,NGIQ-BR-00000381,976,NGIQ-BR-00000158,474,partial_overlap,True,True,True,True,True,True,TARGET_COVERAGE_SEMANTICS_VALID,True,True,True,True,True,PASS,
