decision_id,canonical_region_id,source_structure,source_atlas,source_version,source_reference,source_definition,decision,decision_reason,evidence_type,confidence,script_version,run_timestamp
THAL_SCOPE_01,NGIQ-BR-00000247;NGIQ-BR-00000256,LGN (lateral geniculate),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_LGN) | NOT_INDIVIDUAL(connectivity zones) | IN(LGN) | METATHALAMUS(CGL under metathalamus),AAL3 puts LGN inside Thalamus subdivision; Julich separates as metathalamus child of thalamus; FS segments LGN as a nucleus; Brainnetome 8 connectivity parcels cannot prove membership -> genuine modeling divergence -> REVIEW,ONTOLOGY_REVIEW,AAL3 includes the geniculate inside its Thalamus set; Julich separates metathalamus (CGL) as a distinct child of thalamus; FS segments LGN. Metathalamus-vs-dorsal membership is a genuine modeling choice not decidable from current NeuroGraphIQ G1 provenance.,official_atlas_definition+literature+frozen_mapping,low,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_02,NGIQ-BR-00000247;NGIQ-BR-00000256,MGN (medial geniculate),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_MGN) | NOT_INDIVIDUAL(connectivity zones) | IN(MGN) | METATHALAMUS(CGM under metathalamus),same reasoning as LGN -> REVIEW,ONTOLOGY_REVIEW,"same as LGN: AAL3 includes MGN in Thalamus, Julich separates metathalamus (CGM), FS segments MGN -> REVIEW.",official_atlas_definition+literature+frozen_mapping,low,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_03,NGIQ-BR-00000247;NGIQ-BR-00000256,Reticular nucleus (R/Rt),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,"EXCLUDED('thin shell, not included') | NOT_INDIVIDUAL(connectivity zones) | IN(R) | VENTRAL_THALAMUS(Rt under ventral thalamus)",Iglesias segments R but groups it with white-matter prior; AAL3 explicitly excludes; Julich = ventral-thalamus child; 'thalamus proper' (dorsal) classically excludes reticular -> REVIEW,ONTOLOGY_REVIEW,classical 'thalamus proper' (dorsal) excludes the reticular shell; Iglesias segments R but its generative prior groups reticular with white matter; AAL3 excludes it; Julich places Rt in ventral thalamus -> REVIEW.,official_atlas_definition+literature+frozen_mapping,low,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_04,NGIQ-BR-00000247;NGIQ-BR-00000256,Pulvinar (PuA/PuM/PuL/PuI),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_Pu*) | (within PPtha/Otha zones) | IN(Pu*) | IN(posterior group PUm/PUl/PUi/PUa),unambiguous dorsal-thalamus posterior group,INCLUDE,unambiguous dorsal-thalamus group; present across AAL3/FS/Julich and within Brainnetome whole-thalamus connectivity zones; G1 'whole-thalamus' rollup covers it.,official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_05,NGIQ-BR-00000247;NGIQ-BR-00000256,Anterior nuclei (AV/AM/AD),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_AV; AM+AD folded) | (within functional zones) | IN(AV; AM/AD folded in AV) | IN(anterior group AV/AM/LD),dorsal-thalamus anterior group; consistent across atlases,INCLUDE,unambiguous dorsal-thalamus group; present across AAL3/FS/Julich and within Brainnetome whole-thalamus connectivity zones; G1 'whole-thalamus' rollup covers it.,official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_06,NGIQ-BR-00000247;NGIQ-BR-00000256,Mediodorsal (MDm/MDl),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_MDm/MDl) | (mPF/lPF zones) | IN(MDm/MDl) | IN(medial group MD),dorsal-thalamus medial group,INCLUDE,unambiguous dorsal-thalamus group; present across AAL3/FS/Julich and within Brainnetome whole-thalamus connectivity zones; G1 'whole-thalamus' rollup covers it.,official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_07,NGIQ-BR-00000247;NGIQ-BR-00000256,Ventral nuclei (VA/VLa/VLp/VM/VPL),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_VA/VL/VPL) | (Stha/mPMtha) | IN(VA/VLa/VLp/VM/VPL/VAmc) | IN(ventral group VA/VLA/VLP/VPL/VM/VPi...),dorsal-thalamus ventral group,INCLUDE,unambiguous dorsal-thalamus group; present across AAL3/FS/Julich and within Brainnetome whole-thalamus connectivity zones; G1 'whole-thalamus' rollup covers it.,official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_08,NGIQ-BR-00000247;NGIQ-BR-00000256,Intralaminar (CM/Pf/CL/CeM/Pc),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_IL; CeM/CL/Pc/CM/Pf) | (within zones) | IN(CM/Pf/CL/CeM/Pc) | IN(intralaminar CM/Pf/CL/CeM...),dorsal-thalamus intralaminar group,INCLUDE,unambiguous dorsal-thalamus group; present across AAL3/FS/Julich and within Brainnetome whole-thalamus connectivity zones; G1 'whole-thalamus' rollup covers it.,official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_09,NGIQ-BR-00000247;NGIQ-BR-00000256,Midline nuclei (MV/Re/Pt/Pv),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,IN(Thal_Re=Reuniens; Pt excluded too small) | (within zones) | IN(MV(Re)/Pt) | IN(medial group MV/Pv...),"Reuniens+paratenial are midline nuclei of dorsal complex; AAL3 keeps Reuniens, drops Pt (size); FS keeps both",INCLUDE,"Reuniens (and paratenial) are midline nuclei of the dorsal thalamus complex; AAL3 keeps Reuniens, FS keeps MV(Re)/Pt, Julich medial group -> INCLUDE.",official_atlas_definition+literature+frozen_mapping,high,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
THAL_SCOPE_10,NGIQ-BR-00000247;NGIQ-BR-00000256,Limitans / suprageniculate (L-Sg / Li/Sg),multi-atlas (AAL3/BN/FS/Julich),AAL3v1/BN246/FS-Iglesias2018/Julich-Brain v3.1,EXCLUDED(limitans 12 voxels) | NOT_INDIVIDUAL | IN(L-Sg) | IN(posterior group Li/Sg),AAL3 excludes limitans; FS keeps L-Sg; Julich posterior Li/Sg; border nucleus -> REVIEW,ONTOLOGY_REVIEW,"limitans is a posterior border nucleus excluded by AAL3 (12 voxels), kept by FS (L-Sg) and Julich (Li/Sg) -> REVIEW.",official_atlas_definition+literature+frozen_mapping,low,phase17_v3_resolve_thalamus_g1_ontology_scope.py v1,2026-09-07T07:56:52+00:00
