canonical_g4_id,canonical_g4_name,hemisphere,hard_top1_coverage,hard_total_bna_coverage,effective_target_count,selected_target_count,selected_cumulative_coverage,selected_targets_detail,revised_stratum,owner_action,decision_policy_version
NGIQ-BR-00000332,VP (Ventral Pallidum) left,left,0.36300121,0.64271449,3.0538,2,0.5417,"NGIQ-BR-00000224(BG_L_6_3,hard=0.363,ppRank=1,pp=107.827); NGIQ-BR-00000019(BG_L_6_1,hard=0.179,ppRank=2,pp=79.025)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,left,0.37380389,0.75832296,5.2942,1,0.3738,"NGIQ-BR-00000224(BG_L_6_3,hard=0.374,ppRank=1,pp=136.362)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",right,0.13266221,0.29714774,4.35,0,0.0,,LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",left,0.07775502,0.21120271,3.8717,0,0.0,,LOW_COVERAGE_CONFLICT,keep conflict (low coverage),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000367,Astr (Amygdala) right,right,0.41906006,0.77303393,3.5332,2,0.5817,"NGIQ-BR-00000218(Amyg_R_2_2,hard=0.419,ppRank=1,pp=152.449); NGIQ-BR-00000225(BG_R_6_3,hard=0.163,ppRank=4,pp=25.822)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000382,Area 5L (SPL) left,left,0.37309913,0.82788541,4.7087,1,0.3731,"NGIQ-BR-00000141(SPL_L_5_4,hard=0.373,ppRank=1,pp=599.717)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000383,Area 7M (SPL) right,right,0.34104241,0.98790121,4.8783,3,0.7327,"NGIQ-BR-00000156(PCun_R_4_1,hard=0.341,ppRank=1,pp=102.235); NGIQ-BR-00000160(PCun_R_4_3,hard=0.219,ppRank=2,pp=87.193); NGIQ-BR-00000162(PCun_R_4_4,hard=0.172,ppRank=3,pp=44.672)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000384,Area 7M (SPL) left,left,0.33336128,0.99780989,4.838,3,0.8029,"NGIQ-BR-00000159(PCun_L_4_3,hard=0.333,ppRank=1,pp=110.756); NGIQ-BR-00000201(MVOcC_L_5_5,hard=0.236,ppRank=3,pp=79.762); NGIQ-BR-00000155(PCun_L_4_1,hard=0.233,ppRank=2,pp=109.758)",PLAUSIBLE_MULTI_TARGET_PARTIAL,evaluate as multi-target partial candidate,G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000393,Area 7A (SPL) right,right,0.42759607,0.93749026,5.379,2,0.5897,"NGIQ-BR-00000010(SPL_R_5_1,hard=0.428,ppRank=1,pp=1596.328); NGIQ-BR-00000144(SPL_R_5_5,hard=0.162,ppRank=2,pp=718.606)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000394,Area 7A (SPL) left,left,0.25490857,0.93988746,6.8499,2,0.4666,"NGIQ-BR-00000009(SPL_L_5_1,hard=0.255,ppRank=1,pp=1445.966); NGIQ-BR-00000143(SPL_L_5_5,hard=0.212,ppRank=2,pp=1031.943)",TRUE_DIFFUSE_CONFLICT,keep conflict (diffuse),G4_G3_SCIENTIFIC_POLICY_V1
