source_id,source_name,candidate_g1,candidate_g1_geometry_class,feasibility_bucket,geometry_available,geometry_path,space_compatibility,direct_validation_feasible,blocking_reason,recommended_next_action
NGIQ-BR-00000336,"AcbM (Ventral Striatum, Medial Accumbens) left",Left Nucleus Accumbens,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,aseg volume 不在仓库；BN volume 为 G3 代理（circular 风险）,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000341,Ch 4 (Basal Forebrain) right,Right Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000342,Ch 4 (Basal Forebrain) left,Left Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000343,"BST (Basal Forebrain, Bed Nucleus) right",Right Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000344,"BST (Basal Forebrain, Bed Nucleus) left",Left Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000345,Ch 123 (Basal Forebrain) right,Right Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000346,Ch 123 (Basal Forebrain) left,Left Basal Forebrain,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,Desikan/aseg/Brainnetome 均无 Basal Forebrain surrogate —— MISSING_REQUIRED_ASSET,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000370,VTM (Amygdala) left,Left Amygdala,NO_GEOMETRY,NO_GEOMETRY,NO,,REGISTRATION_REQUIRED,NO,aseg volume 不在仓库（仅 Macro96 清单）；需 FS aseg 或外部 volume,获取 aseg/权威 volume 或外部资产
NGIQ-BR-00000382,Area 5L (SPL) left,Left Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000383,Area 7M (SPL) right,Right Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000385,Area 7PC (SPL) right,Right Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000386,Area 7PC (SPL) left,Left Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000389,Area 7P (SPL) right,Right Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000393,Area 7A (SPL) right,Right Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000394,Area 7A (SPL) left,Left Superior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000395,Area 3b (PostCG) right,Right Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000396,Area 3b (PostCG) left,Left Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000397,Area 1 (PostCG) right,Right Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000398,Area 1 (PostCG) left,Left Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000401,Area 3a (PostCG) right,Right Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000402,Area 3a (PostCG) left,Left Postcentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000411,Area PF (IPL) right,Right Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000412,Area PF (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000414,Area PFcm (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000415,Area PGa (IPL) right,Right Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000416,Area PGa (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000418,Area PFt (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000419,Area PFm (IPL) right,Right Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000420,Area PFm (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000421,Area PGp (IPL) right,Right Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000422,Area PGp (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000424,Area PFop (IPL) left,Left Inferior Parietal Lobule,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000443,Area 6v3 (PreCG) right,Right Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
NGIQ-BR-00000444,Area 6v3 (PreCG) left,Left Precentral Gyrus,AUTHORITATIVE_NATIVE_G1_GEOMETRY,REGISTRATION_REQUIRED,YES,D:\Tool\Coding\IDE\PyCharm\NeuroGraphIQ_KG_marco\backend\data\atlases\freesurfer\fsaverage,REGISTRATION_REQUIRED,NO,有 DK surface 但 Julich 为 volume（2009c），需 surface/volume 桥接,构建 surface↔volume 桥后直接验证
