decision_id,rollup_decision_id,official_code,abbreviation,hemisphere,frozen_g1_target,g1_geometry_id,g1_sha256,historical_mapping_verdict,effective_mapping_verdict,evidence_class,uncertainty_note,supersession_id,nonblocking_spatial_uncertainty
DEC-THAL-DIRECT-01,DEC-THAL-ROLLUP-01,Tha_L_8_1,mPFtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,DIRECTLY_SUPPORTED,,,FALSE
DEC-THAL-DIRECT-02,DEC-THAL-ROLLUP-02,Tha_L_8_2,mPMtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,FROZEN_MAPPING_REQUIRES_REVIEW,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,G1 probability-envelope boundary limitation + shared-template-variant mismatch (L8_2 root-cause audit); envelope-limited containment; raw BNA intrinsic L/R asymmetry PRESENT,DEC-THAL-DIRECT-02-S1,TRUE
DEC-THAL-DIRECT-03,DEC-THAL-ROLLUP-03,Tha_L_8_3,Stha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,,,TRUE
DEC-THAL-DIRECT-04,DEC-THAL-ROLLUP-04,Tha_L_8_4,rTtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,BILATERAL_ASYMMETRY_REVIEW,,TRUE
DEC-THAL-DIRECT-05,DEC-THAL-ROLLUP-05,Tha_L_8_5,PPtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,DIRECTLY_SUPPORTED,,,FALSE
DEC-THAL-DIRECT-06,DEC-THAL-ROLLUP-06,Tha_L_8_6,Otha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,DIRECTLY_SUPPORTED,,,FALSE
DEC-THAL-DIRECT-07,DEC-THAL-ROLLUP-07,Tha_L_8_7,cTtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,,,TRUE
DEC-THAL-DIRECT-08,DEC-THAL-ROLLUP-08,Tha_L_8_8,lPFtha,left,NGIQ-BR-00000247,GEO-G1-THAL-L-MNI2009CASYM-V1,bd431608fcea3c5f0f7387b1b0e1010582fa2e39dae95a300b3bba976a10cc87,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,BILATERAL_ASYMMETRY_REVIEW,,TRUE
DEC-THAL-DIRECT-09,DEC-THAL-ROLLUP-09,Tha_R_8_1,mPFtha,right,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,KEEP_FROZEN_MAPPING_DIRECTLY_SUPPORTED,DIRECTLY_SUPPORTED,,,FALSE
DEC-THAL-DIRECT-10,DEC-THAL-ROLLUP-10,Tha_R_8_2,mPMtha,right,NGIQ-BR-00000256,GEO-G1-THAL-R-MNI2009CASYM-V1,73e4242b581f2420c316593f6cd85183ea7f99c29e2b817b0257cdf267c5bd3b,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,KEEP_FROZEN_MAPPING_WITH_SPATIAL_UNCERTAINTY,SPATIAL_UNCERTAINTY_RETAINED,BILATERAL_ASYMMETRY_REVIEW,,TRUE
