parcel_id,g3_entity_id,g3_name_en,g3_name_zh,official_code,official_modified_name,seed_mask,seed_dk_constituents,candidate_g1,hemisphere,current_human_decision,review_basis
15,NGIQ-BR-00000033,"Left Middle frontal gyrus, Brainnetome 7_1",左侧额中回（Brainnetome 7-1）,MFG_L_7_1,dorsal area 9/46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
16,NGIQ-BR-00000034,"Right Middle frontal gyrus, Brainnetome 7_1",右侧额中回（Brainnetome 7-1）,MFG_R_7_1,dorsal area 9/46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
17,NGIQ-BR-00000035,"Left Middle frontal gyrus, Brainnetome 7_2",左侧额中回（Brainnetome 7-2）,MFG_L_7_2,inferior frontal junction,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
18,NGIQ-BR-00000036,"Right Middle frontal gyrus, Brainnetome 7_2",右侧额中回（Brainnetome 7-2）,MFG_R_7_2,inferior frontal junction,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
19,NGIQ-BR-00000037,"Left Middle frontal gyrus, Brainnetome 7_3",左侧额中回（Brainnetome 7-3）,MFG_L_7_3,area 46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
20,NGIQ-BR-00000038,"Right Middle frontal gyrus, Brainnetome 7_3",右侧额中回（Brainnetome 7-3）,MFG_R_7_3,area 46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
21,NGIQ-BR-00000039,"Left Middle frontal gyrus, Brainnetome 7_4",左侧额中回（Brainnetome 7-4）,MFG_L_7_4,ventral area 9/46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
22,NGIQ-BR-00000040,"Right Middle frontal gyrus, Brainnetome 7_4",右侧额中回（Brainnetome 7-4）,MFG_R_7_4,ventral area 9/46,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
23,NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",左侧额中回（Brainnetome 7-5）,MFG_L_7_5,ventrolateral area 8,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
24,NGIQ-BR-00000042,"Right Middle frontal gyrus, Brainnetome 7_5",右侧额中回（Brainnetome 7-5）,MFG_R_7_5,ventrolateral area 8,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
25,NGIQ-BR-00000043,"Left Middle frontal gyrus, Brainnetome 7_6",左侧额中回（Brainnetome 7-6）,MFG_L_7_6,ventrolateral area 6,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
26,NGIQ-BR-00000044,"Right Middle frontal gyrus, Brainnetome 7_6",右侧额中回（Brainnetome 7-6）,MFG_R_7_6,ventrolateral area 6,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
27,NGIQ-BR-00000045,"Left Middle frontal gyrus, Brainnetome 7_7",左侧额中回（Brainnetome 7-7）,MFG_L_7_7,lateral area 10,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
28,NGIQ-BR-00000046,"Right Middle frontal gyrus, Brainnetome 7_7",右侧额中回（Brainnetome 7-7）,MFG_R_7_7,lateral area 10,MFG,Anterior and Posterior part of Middle Frontal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
29,NGIQ-BR-00000003,"Left Inferior frontal gyrus, Brainnetome 6_1",左侧额下回（Brainnetome 6-1）,IFG_L_6_1,dorsal area 44,IFG,Pars Opercularis; Pars Triangularis,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
30,NGIQ-BR-00000004,"Right Inferior frontal gyrus, Brainnetome 6_1",右侧额下回（Brainnetome 6-1）,IFG_R_6_1,dorsal area 44,IFG,Pars Opercularis; Pars Triangularis,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
31,NGIQ-BR-00000047,"Left Inferior frontal gyrus, Brainnetome 6_2",左侧额下回（Brainnetome 6-2）,IFG_L_6_2,inferior frontal sulcus,IFG,Pars Opercularis; Pars Triangularis,,left,NO_G1_ROLLUP,sulcus parcel; CURRENT G1 has no sulcus concept (frozen NO_ROLLUP preserved)
32,NGIQ-BR-00000048,"Right Inferior frontal gyrus, Brainnetome 6_2",右侧额下回（Brainnetome 6-2）,IFG_R_6_2,inferior frontal sulcus,IFG,Pars Opercularis; Pars Triangularis,,right,NO_G1_ROLLUP,sulcus parcel; CURRENT G1 has no sulcus concept (frozen NO_ROLLUP preserved)
33,NGIQ-BR-00000049,"Left Inferior frontal gyrus, Brainnetome 6_3",左侧额下回（Brainnetome 6-3）,IFG_L_6_3,caudal area 45,IFG,Pars Opercularis; Pars Triangularis,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
34,NGIQ-BR-00000050,"Right Inferior frontal gyrus, Brainnetome 6_3",右侧额下回（Brainnetome 6-3）,IFG_R_6_3,caudal area 45,IFG,Pars Opercularis; Pars Triangularis,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
35,NGIQ-BR-00000051,"Left Inferior frontal gyrus, Brainnetome 6_4",左侧额下回（Brainnetome 6-4）,IFG_L_6_4,rostral area 45,IFG,Pars Opercularis; Pars Triangularis,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
36,NGIQ-BR-00000052,"Right Inferior frontal gyrus, Brainnetome 6_4",右侧额下回（Brainnetome 6-4）,IFG_R_6_4,rostral area 45,IFG,Pars Opercularis; Pars Triangularis,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
37,NGIQ-BR-00000053,"Left Inferior frontal gyrus, Brainnetome 6_5",左侧额下回（Brainnetome 6-5）,IFG_L_6_5,opercular area 44,IFG,Pars Opercularis; Pars Triangularis,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
38,NGIQ-BR-00000054,"Right Inferior frontal gyrus, Brainnetome 6_5",右侧额下回（Brainnetome 6-5）,IFG_R_6_5,opercular area 44,IFG,Pars Opercularis; Pars Triangularis,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
39,NGIQ-BR-00000055,"Left Inferior frontal gyrus, Brainnetome 6_6",左侧额下回（Brainnetome 6-6）,IFG_L_6_6,ventral area 44,IFG,Pars Opercularis; Pars Triangularis,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
40,NGIQ-BR-00000056,"Right Inferior frontal gyrus, Brainnetome 6_6",右侧额下回（Brainnetome 6-6）,IFG_R_6_6,ventral area 44,IFG,Pars Opercularis; Pars Triangularis,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
41,NGIQ-BR-00000057,"Left Orbital gyrus, Brainnetome 6_1",左侧眶回（Brainnetome 6-1）,OrG_L_6_1,medial area 14,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
42,NGIQ-BR-00000058,"Right Orbital gyrus, Brainnetome 6_1",右侧眶回（Brainnetome 6-1）,OrG_R_6_1,medial area 14,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
43,NGIQ-BR-00000059,"Left Orbital gyrus, Brainnetome 6_2",左侧眶回（Brainnetome 6-2）,OrG_L_6_2,orbital area 12/47,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
44,NGIQ-BR-00000060,"Right Orbital gyrus, Brainnetome 6_2",右侧眶回（Brainnetome 6-2）,OrG_R_6_2,orbital area 12/47,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
45,NGIQ-BR-00000061,"Left Orbital gyrus, Brainnetome 6_3",左侧眶回（Brainnetome 6-3）,OrG_L_6_3,lateral area 11,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
46,NGIQ-BR-00000062,"Right Orbital gyrus, Brainnetome 6_3",右侧眶回（Brainnetome 6-3）,OrG_R_6_3,lateral area 11,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
47,NGIQ-BR-00000063,"Left Orbital gyrus, Brainnetome 6_4",左侧眶回（Brainnetome 6-4）,OrG_L_6_4,medial area 11,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
48,NGIQ-BR-00000064,"Right Orbital gyrus, Brainnetome 6_4",右侧眶回（Brainnetome 6-4）,OrG_R_6_4,medial area 11,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
49,NGIQ-BR-00000065,"Left Orbital gyrus, Brainnetome 6_5",左侧眶回（Brainnetome 6-5）,OrG_L_6_5,area 13,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
50,NGIQ-BR-00000066,"Right Orbital gyrus, Brainnetome 6_5",右侧眶回（Brainnetome 6-5）,OrG_R_6_5,area 13,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
51,NGIQ-BR-00000067,"Left Orbital gyrus, Brainnetome 6_6",左侧眶回（Brainnetome 6-6）,OrG_L_6_6,lateral area 12/47,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
52,NGIQ-BR-00000068,"Right Orbital gyrus, Brainnetome 6_6",右侧眶回（Brainnetome 6-6）,OrG_R_6_6,lateral area 12/47,OrG,Pars Orbitalis; Lateral and Medial Divisions of Orbital Gyrus; Frontal Pole,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
69,NGIQ-BR-00000005,"Left Superior temporal gyrus, Brainnetome 6_1",左侧颞上回（Brainnetome 6-1）,STG_L_6_1,medial area 38,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
70,NGIQ-BR-00000006,"Right Superior temporal gyrus, Brainnetome 6_1",右侧颞上回（Brainnetome 6-1）,STG_R_6_1,medial area 38,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
71,NGIQ-BR-00000085,"Left Superior temporal gyrus, Brainnetome 6_2",左侧颞上回（Brainnetome 6-2）,STG_L_6_2,area 41/42,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
72,NGIQ-BR-00000086,"Right Superior temporal gyrus, Brainnetome 6_2",右侧颞上回（Brainnetome 6-2）,STG_R_6_2,area 41/42,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
73,NGIQ-BR-00000087,"Left Superior temporal gyrus, Brainnetome 6_3",左侧颞上回（Brainnetome 6-3）,STG_L_6_3,TE1.0 and TE1.2,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
74,NGIQ-BR-00000088,"Right Superior temporal gyrus, Brainnetome 6_3",右侧颞上回（Brainnetome 6-3）,STG_R_6_3,TE1.0 and TE1.2,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
75,NGIQ-BR-00000089,"Left Superior temporal gyrus, Brainnetome 6_4",左侧颞上回（Brainnetome 6-4）,STG_L_6_4,caudal area 22,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
76,NGIQ-BR-00000090,"Right Superior temporal gyrus, Brainnetome 6_4",右侧颞上回（Brainnetome 6-4）,STG_R_6_4,caudal area 22,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
77,NGIQ-BR-00000091,"Left Superior temporal gyrus, Brainnetome 6_5",左侧颞上回（Brainnetome 6-5）,STG_L_6_5,lateral area 38,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
78,NGIQ-BR-00000092,"Right Superior temporal gyrus, Brainnetome 6_5",右侧颞上回（Brainnetome 6-5）,STG_R_6_5,lateral area 38,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
79,NGIQ-BR-00000093,"Left Superior temporal gyrus, Brainnetome 6_6",左侧颞上回（Brainnetome 6-6）,STG_L_6_6,rostral area 22,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
80,NGIQ-BR-00000094,"Right Superior temporal gyrus, Brainnetome 6_6",右侧颞上回（Brainnetome 6-6）,STG_R_6_6,rostral area 22,STG,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
109,NGIQ-BR-00000121,"Left Parahippocampal gyrus, Brainnetome 6_1",左侧海马旁回（Brainnetome 6-1）,PhG_L_6_1,rostral area 35/36,PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
110,NGIQ-BR-00000122,"Right Parahippocampal gyrus, Brainnetome 6_1",右侧海马旁回（Brainnetome 6-1）,PhG_R_6_1,rostral area 35/36,PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
111,NGIQ-BR-00000123,"Left Parahippocampal gyrus, Brainnetome 6_2",左侧海马旁回（Brainnetome 6-2）,PhG_L_6_2,caudal area 35/36,PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
112,NGIQ-BR-00000124,"Right Parahippocampal gyrus, Brainnetome 6_2",右侧海马旁回（Brainnetome 6-2）,PhG_R_6_2,caudal area 35/36,PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
113,NGIQ-BR-00000125,"Left Parahippocampal gyrus, Brainnetome 6_3",左侧海马旁回（Brainnetome 6-3）,PhG_L_6_3,"area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
114,NGIQ-BR-00000126,"Right Parahippocampal gyrus, Brainnetome 6_3",右侧海马旁回（Brainnetome 6-3）,PhG_R_6_3,"area TL (lateral PPHC, posterior parahippocampal gyrus)",PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
115,NGIQ-BR-00000127,"Left Parahippocampal gyrus, Brainnetome 6_4",左侧海马旁回（Brainnetome 6-4）,PhG_L_6_4,"area 28/34 (EC, entorhinal cortex)",PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
116,NGIQ-BR-00000128,"Right Parahippocampal gyrus, Brainnetome 6_4",右侧海马旁回（Brainnetome 6-4）,PhG_R_6_4,"area 28/34 (EC, entorhinal cortex)",PhG,Entorhinal Area; Parahippocampal Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
117,NGIQ-BR-00000129,"Left Parahippocampal gyrus, Brainnetome 6_5",左侧海马旁回（Brainnetome 6-5）,PhG_L_6_5,area TI(temporal agranular insular cortex),PhG,Entorhinal Area; Parahippocampal Gyrus,,left,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
