g3_entity_id,g3_region_pk,parcel_id,official_code,hemisphere,granularity_level,decision_origin,historical_decision,effective_scientific_decision,primary_target_g1_entity_id,primary_target_g1_name,evidence_targets_g1,scientific_rollup_eligible,decision_phase,decision_source,provenance_source_artifact
NGIQ-BR-00000001,3,1,SFG_L_7_1,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000002,6,2,SFG_R_7_1,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000021,63,3,SFG_L_7_2,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000022,66,4,SFG_R_7_2,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000023,69,5,SFG_L_7_3,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000024,72,6,SFG_R_7_3,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000025,75,7,SFG_L_7_4,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000026,78,8,SFG_R_7_4,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000027,81,9,SFG_L_7_5,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000028,84,10,SFG_R_7_5,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000029,87,11,SFG_L_7_6,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000030,90,12,SFG_R_7_6,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000031,93,13,SFG_L_7_7,left,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000294,Left Superior Frontal Gyrus,Left Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000032,96,14,SFG_R_7_7,right,G3_MESO_FINE,SEED_CONTAINMENT_CONFIRMED,SEED_CONTAINMENT_CONFIRMED,APPROVE_CONTAINED_IN,NGIQ-BR-00000325,Right Superior Frontal Gyrus,Right Superior Frontal Gyrus,TRUE,SEED_CONTAINMENT_FROZEN,Human Brainnetome Atlas seed containment (Fan et al. 2016 Table S1),single_seed_surface_overlap_validation.csv
NGIQ-BR-00000033,99,15,MFG_L_7_1,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000034,102,16,MFG_R_7_1,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000035,105,17,MFG_L_7_2,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,"Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis;Rostral Middle Frontal Cortex",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000036,108,18,MFG_R_7_2,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000301,Right Caudal Middle Frontal Gyrus,"Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis;Rostral Middle Frontal Cortex",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000037,111,19,MFG_L_7_3,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000038,114,20,MFG_R_7_3,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000039,117,21,MFG_L_7_4,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000040,120,22,MFG_R_7_4,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000041,123,23,MFG_L_7_5,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,,,Rostral Middle Frontal Cortex;Caudal Middle Frontal Gyrus,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000042,126,24,MFG_R_7_5,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,,,Rostral Middle Frontal Cortex;Caudal Middle Frontal Gyrus,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000043,129,25,MFG_L_7_6,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000270,Left Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus;Precentral Gyrus;Superior Frontal Gyrus,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000044,132,26,MFG_R_7_6,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000301,Right Caudal Middle Frontal Gyrus,Caudal Middle Frontal Gyrus;Precentral Gyrus;Superior Frontal Gyrus,TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000045,135,27,MFG_L_7_7,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000293,Left Rostral Middle Frontal Cortex,"Inferior Frontal Gyrus, Pars Orbitalis;Lateral Orbitofrontal Cortex;Rostral Middle Frontal Cortex;Superior Frontal Gyrus",TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000046,138,28,MFG_R_7_7,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,NGIQ-BR-00000324,Right Rostral Middle Frontal Cortex,"Inferior Frontal Gyrus, Pars Orbitalis;Lateral Orbitofrontal Cortex;Rostral Middle Frontal Cortex;Superior Frontal Gyrus",TRUE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000003,9,29,IFG_L_6_1,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000284,"Left Inferior Frontal Gyrus, Pars Opercularis","Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000004,12,30,IFG_R_6_1,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000315,"Right Inferior Frontal Gyrus, Pars Opercularis","Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000047,141,31,IFG_L_6_2,left,G3_MESO_FINE,FREEZE,NO_G1_ROLLUP,NO_G1_ROLLUP,,,,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000048,144,32,IFG_R_6_2,right,G3_MESO_FINE,FREEZE,NO_G1_ROLLUP,NO_G1_ROLLUP,,,,FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000049,147,33,IFG_L_6_3,left,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
NGIQ-BR-00000050,150,34,IFG_R_6_3,right,G3_MESO_FINE,FREEZE,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,,,"Inferior Frontal Gyrus, Pars Opercularis;Inferior Frontal Gyrus, Pars Triangularis",FALSE,G3_G1_SCIENTIFIC_FREEZE_V1,ChatGPT-assisted scientific review,g3_to_g1_final_scientific_decisions.csv
