biological_pair_id,hemisphere,parcel_id,g3_entity_id,official_code,official_modified_name,seed_mask_code,seed_type,historical_decision,effective_scientific_decision,decision_source,primary_target_g1,evidence_targets_g1,rollup_eligible,is_primary_rollup,proposed_mapping_relation,decision_reason,review_phase,decision_provenance
MFG_7_1,left,15,NGIQ-BR-00000033,MFG_L_7_1,dorsal area 9/46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_1"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""dorsal area 9/46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Left Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.953149"", ""top2_dk"": ""superiorfrontal"", ""top2_dk_coverage"": ""0.046851"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_1,right,16,NGIQ-BR-00000034,MFG_R_7_1,dorsal area 9/46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_1"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""dorsal area 9/46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Right Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.820144"", ""top2_dk"": ""caudalmiddlefrontal"", ""top2_dk_coverage"": ""0.131552"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_2,left,17,NGIQ-BR-00000035,MFG_L_7_2,inferior frontal junction,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,Caudal Middle Frontal Gyrus,"Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis;Rostral Middle Frontal Cortex",FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_2"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""inferior frontal junction"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""caudalmiddlefrontal"", ""top1_g1"": ""Left Caudal Middle Frontal Gyrus"", ""top1_g1_coverage"": ""0.767627"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.22195"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_2,right,18,NGIQ-BR-00000036,MFG_R_7_2,inferior frontal junction,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_DOMINANT_OVERLAP,ChatGPT human scientific review,Caudal Middle Frontal Gyrus,"Caudal Middle Frontal Gyrus;Inferior Frontal Gyrus, Pars Opercularis;Rostral Middle Frontal Cortex",FALSE,FALSE,dominant_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_2"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""inferior frontal junction"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""caudalmiddlefrontal"", ""top1_g1"": ""Right Caudal Middle Frontal Gyrus"", ""top1_g1_coverage"": ""0.942857"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.043206"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_3,left,19,NGIQ-BR-00000037,MFG_L_7_3,area 46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_3"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""area 46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Left Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.993798"", ""top2_dk"": ""superiorfrontal"", ""top2_dk_coverage"": ""0.006202"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_3,right,20,NGIQ-BR-00000038,MFG_R_7_3,area 46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex;Superior Frontal Gyrus,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_3"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""area 46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Right Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""1.0"", ""top2_dk"": """", ""top2_dk_coverage"": ""0"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_4,left,21,NGIQ-BR-00000039,MFG_L_7_4,ventral area 9/46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_4"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventral area 9/46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Left Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""1.0"", ""top2_dk"": """", ""top2_dk_coverage"": ""0"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_4,right,22,NGIQ-BR-00000040,MFG_R_7_4,ventral area 9/46,MFG,composite,PENDING_HUMAN_REVIEW,APPROVE_CONTAINED_IN,ChatGPT human scientific review,Rostral Middle Frontal Cortex,Rostral Middle Frontal Cortex,TRUE,TRUE,contained_in,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_4"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventral area 9/46"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Right Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.975517"", ""top2_dk"": ""parstriangularis"", ""top2_dk_coverage"": ""0.012514"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_5,left,23,NGIQ-BR-00000041,MFG_L_7_5,ventrolateral area 8,MFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,Rostral Middle Frontal Cortex;Caudal Middle Frontal Gyrus,FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_L_7_5"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventrolateral area 8"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""caudalmiddlefrontal"", ""top1_g1"": ""Left Caudal Middle Frontal Gyrus"", ""top1_g1_coverage"": ""0.642631"", ""top2_dk"": ""rostralmiddlefrontal"", ""top2_dk_coverage"": ""0.350411"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
MFG_7_5,right,24,NGIQ-BR-00000042,MFG_R_7_5,ventrolateral area 8,MFG,composite,PENDING_HUMAN_REVIEW,PARTIAL_OVERLAP,ChatGPT human scientific review,,Rostral Middle Frontal Cortex;Caudal Middle Frontal Gyrus,FALSE,FALSE,partial_overlap,,G3_G1_SCIENTIFIC_FREEZE_V1,"{""official_parcel_identity"": ""MFG_R_7_5"", ""seed_authority"": ""Fan et al. 2016 Supplementary Table 1 (initial DK seed masks)"", ""official_modified_nomenclature"": ""ventrolateral area 8"", ""fsaverage_surface_overlap_evidence"": {""top1_dk"": ""rostralmiddlefrontal"", ""top1_g1"": ""Right Rostral Middle Frontal Cortex"", ""top1_g1_coverage"": ""0.637713"", ""top2_dk"": ""caudalmiddlefrontal"", ""top2_dk_coverage"": ""0.362287"", ""non_g1_dk_coverage"": ""0""}, ""decision_source"": ""ChatGPT human scientific review"", ""human_scientific_review"": ""ChatGPT G3->G1 per-pair scientific freeze"", ""review_phase"": ""G3_G1_SCIENTIFIC_FREEZE_V1""}"
